,library size
1855,9.060099
1856,8.390268
1857,9.612332
1858,7.7222347
1859,8.959569
1860,10.408406
1861,9.406401
1862,9.281544
1863,9.219201
1864,7.9211726
1865,10.87916
1866,10.463903
1867,8.14584
1868,8.303505
1869,10.339676
1870,10.058652
1871,10.002971
1872,9.934453
1873,10.4607
1874,9.874007
1875,9.497997
1876,9.07475
1877,8.306966
1878,9.095827
1879,10.139232
1880,9.443989
1881,9.401043
1882,8.8046255
1883,11.266628
1884,11.120505
1885,7.915348
1886,7.9929447
1887,10.695348
1888,10.882152
1889,10.586635
1890,9.430119
1891,8.841448
1892,9.009081
1893,8.668883
1894,9.396405
1895,9.268232
1896,9.5003195
1897,9.682653
1898,9.776165
1899,9.380758
1900,9.872822
1901,10.465044
1902,9.131514
1903,8.936824
1904,8.618485
1905,9.465757
1906,7.947325
1907,10.359265
1908,8.970305
1909,9.47861
1910,8.955061
1911,9.823361
1912,9.85849
1913,8.834191
1914,8.093768
1915,9.779624
1916,10.269969
1917,10.08042
1918,10.112614
1919,9.944245
1920,10.212368
1921,9.235813
1922,9.442483
1923,9.692025
1924,8.544614
1925,10.232539
1926,10.832418
1927,8.164226
1928,10.009198
1929,8.759982
1930,9.2040205
