,library size
452,10.249273
453,10.673527
454,9.819508
455,10.277634
456,9.414016
457,9.27968
458,9.34592
459,10.420762
460,9.333
461,10.575411
462,9.454071
463,10.388842
464,9.843684
465,8.683386
466,10.030076
467,9.632204
468,8.939974
469,9.322418
470,9.988426
471,8.847073
472,10.018824
473,9.340667
474,10.115893
475,10.247715
476,10.294888
477,10.721261
478,9.426016
479,9.998025
480,9.505395
481,9.33521
482,10.08088
483,10.300013
484,9.770299
485,9.97152
486,9.921328
487,9.927937
488,9.723883
489,9.784423
490,10.086892
491,9.393162
492,10.084183
493,9.940831
494,9.488048
495,10.345477
496,9.773265
497,10.23009
498,8.886685
499,10.421388
500,9.009814
501,9.255505
502,10.369923
503,9.604745
504,10.441559
505,9.471165
506,10.269831
507,9.350798
508,9.603935
509,10.73086
510,9.954703
511,9.435003
512,9.854403
513,9.564933
514,9.511408
515,10.123947
516,9.755161
517,9.680469
518,10.686476
519,10.400011
520,9.014325
521,10.186823
522,10.813418
523,9.972967
524,10.220777
525,10.378541
526,9.154722
527,8.8775215
528,10.213285
529,9.339788
530,9.7379055
531,10.624444
532,10.060192
533,10.514204
534,10.081467
535,9.77298
536,9.895758
537,9.9229965
538,10.037231
539,9.24116
540,9.900934
541,10.304141
542,10.151636
543,10.066499
544,10.323645
545,10.5828905
546,9.424241
547,10.108426
548,10.366813
549,9.923045
550,10.077105
551,10.188027
552,9.843366
553,10.28875
554,10.381893
555,9.853614
556,10.555005
557,9.606697
558,10.307017
559,10.322198
560,9.250523
561,9.802672
562,9.257701
563,9.631876
564,10.7274
565,11.154864
566,10.587846
567,9.0766945
568,9.040501
569,10.457631
570,9.118664
571,10.795362
572,10.767242
573,10.278047
574,9.673885
575,10.661017
576,9.30073
577,9.661861
578,10.946887
579,9.21174
580,10.671997
581,9.178746
582,10.539959
583,10.378105
584,8.480114
585,10.053028
586,9.903288
587,9.592878
588,10.611351
589,8.901639
590,10.91538
591,9.637045
592,9.968291
593,10.698017
594,8.603921
595,10.508595
596,9.751385
597,10.08435
598,10.829689
599,9.697816
600,10.202072
601,10.4158325
602,10.605917
603,11.169632
604,9.593424
605,10.823072
606,9.561279
607,10.9515085
608,10.714551
609,9.905685
610,10.171642
611,9.520908
612,10.254778
613,9.0134735
614,10.68217
615,9.573176
616,11.129657
617,9.4813595
618,10.178236
619,10.789566
620,9.2650175
621,8.302018
622,10.230775
623,9.619466
624,10.898589
625,9.911208
626,10.054877
627,9.692211
628,8.675393
629,9.032648
630,9.688251
631,10.6129265
632,9.324472
633,8.515792
634,9.882826
635,10.839032
636,9.525224
637,10.075843
638,9.417842
639,9.585072
640,9.40063
641,10.0241995
642,9.465835
643,9.744551
644,9.754117
645,10.625101
646,9.727824
647,10.793537
648,9.817985
649,9.027259
650,8.946635
651,9.687754
652,9.361601
653,10.060106
654,8.803575
655,10.008973
656,10.262035
657,9.207035
658,9.979059
659,9.525151
660,9.885018
661,9.775768
662,10.005683
663,10.280862
664,9.674578
665,9.276316
666,9.879963
667,8.709465
668,9.654128
669,9.284705
670,9.5083685
671,9.598592
672,9.660587
673,10.549648
674,10.337054
675,9.601503
676,10.571394
677,9.59893
678,10.312978
679,9.058587
680,10.14808
681,9.60858
682,9.49213
683,9.094255
684,9.782224
685,9.249369
686,9.748587
687,8.964312
688,10.26879
689,10.713818
690,10.20522
691,9.215427
692,9.464207
693,10.894626
694,9.277158
695,8.984944
696,10.789608
697,9.123584
698,10.366844
699,9.335563
700,10.960896
701,10.4834385
