,peak mean
396,0.09667454
397,0.013885563
398,0.04009671
399,0.021517284
400,0.03360808
401,0.20316291
402,0.008765199
403,0.018979844
404,0.016945222
405,0.041588183
406,0.0504903
407,0.08008257
408,0.011328658
409,0.006709666
410,0.027076954
411,0.13721454
412,0.14799146
413,0.069993585
414,0.04802541
415,0.013885563
416,0.0395991
417,0.011840538
418,0.05735975
419,0.07625109
420,0.26383692
421,0.05833734
422,0.011840538
423,0.009791323
424,0.20400782
425,0.16041948
426,0.0061951503
427,0.40321782
428,0.104168735
429,0.044068974
430,0.021517284
431,0.0051653264
432,0.008765199
433,0.004650017
434,0.060289435
435,0.005680371
436,0.023036595
437,0.032606
438,0.23396018
439,0.058825724
440,0.005680371
441,0.04357322
442,0.1064992
443,0.32703188
444,0.052949127
445,0.32964227
446,0.71744823
447,0.046049092
448,0.2457752
449,0.029091086
450,0.0108165145
451,0.026068423
452,0.051474508
453,0.22075863
454,0.011328658
455,0.069993585
456,0.013374727
457,0.023036595
458,0.01490645
459,0.0772104
460,0.061264157
461,0.03160303
462,0.021010218
463,0.015926413
464,0.22614284
465,0.006709666
466,0.0051653264
467,0.5476333
468,0.024553716
469,0.06369657
470,0.012863516
471,0.11853086
472,0.30742344
473,0.0108165145
474,0.005680371
475,0.010304109
476,0.0077380193
477,0.023542518
478,0.4756195
479,0.0072239153
480,0.11484416
481,0.2634391
482,1.2705777
483,0.024048187
484,0.051966257
485,0.026572816
486,0.018471487
487,0.01490645
488,0.004650017
489,0.2069596
490,0.024048187
491,0.0061951503
492,0.0077380193
493,0.0051653264
494,0.0031023729
495,0.0041343225
496,0.0041343225
497,0.06175112
498,0.004650017
499,0.005680371
500,0.0051653264
501,0.0072239153
502,0.028587965
503,0.27530637
504,0.0051653264
505,0.07481057
506,0.0704763
507,0.15555544
508,0.005680371
509,0.009278392
510,0.0072239153
511,0.0051653264
512,0.020503009
513,0.015926413
514,0.004650017
515,0.12632012
516,0.005680371
517,0.0041343225
518,0.037606034
519,0.015416503
520,0.0108165145
521,0.092906326
522,0.0072239153
523,0.0072239153
524,0.0041343225
525,0.009791323
526,0.025563775
527,0.004650017
528,0.008251741
529,0.049505007
530,0.03059906
531,0.024553716
532,0.050982524
533,0.013885563
534,0.12905486
535,0.004650017
536,0.01490645
537,0.06563834
538,0.0108165145
539,0.004650017
540,0.013885563
541,0.0051653264
542,0.023542518
543,0.012863516
544,0.056381315
545,0.022023978
546,0.004650017
547,0.13540702
548,0.0051653264
549,0.04406886
550,0.037606034
551,0.011328658
552,0.0036184806
553,0.022023978
554,0.012352158
555,0.012352158
556,0.07816867
557,0.009791323
558,0.07529097
559,0.76699525
560,0.017454235
561,0.019995546
562,0.021517284
563,0.02959396
564,0.5270575
565,0.34038508
566,0.027580958
567,0.091489516
568,0.019487824
569,0.008765199
570,0.026068423
571,0.0041343225
572,0.023036595
573,0.112533085
574,0.0051653264
575,0.009278392
576,0.011328658
577,0.01490645
578,0.011328658
579,0.011328658
580,0.13087389
581,0.028084585
582,0.07768964
583,0.22158891
584,0.06612317
585,0.031101173
586,0.24171674
587,0.011328658
588,0.011328658
589,0.01796299
590,0.022530414
591,0.14081962
592,0.04009671
593,0.07960447
594,0.021010218
595,0.5122743
596,0.060776863
597,0.069993585
598,0.055401925
599,0.063696675
600,0.04357322
601,0.006709666
602,0.29246065
603,0.16262262
604,0.009278392
605,0.11622829
606,0.038104642
607,0.029091086
608,0.22283289
609,0.103235066
610,0.011328658
611,0.013885563
612,0.011328658
613,0.016435947
614,0.08151553
615,0.22407542
616,0.20400782
617,0.08817593
618,0.04654351
619,0.0867524
620,0.0041343225
621,0.0108165145
622,0.005680371
623,0.030096576
624,0.6897755
625,0.026068423
626,0.06612317
627,0.014396137
628,0.09667454
629,0.021517284
630,0.049012054
631,0.090543926
632,0.07481057
633,0.021010218
634,0.036608074
635,0.06369657
636,0.021517284
637,0.05735975
638,0.23805
639,0.012352158
640,0.04009671
641,0.095733844
642,0.032104645
643,0.09384969
644,0.08959734
645,0.13223593
646,0.046049092
647,0.15466847
648,0.12174552
649,0.13314302
650,0.13946925
651,0.008251741
652,0.03710718
653,0.024553716
654,0.0061951503
655,0.015926413
656,0.0051653264
657,0.0061951503
658,0.0072239153
659,0.38506082
660,0.052949127
661,0.4717495
662,0.07529097
663,0.05735975
664,0.09620431
665,0.060289435
666,0.14396365
667,0.09996024
668,0.39487866
669,0.7655519
670,0.755141
671,0.33964795
672,0.041588183
673,0.042581197
674,0.055891737
675,0.31953555
676,0.09432103
677,0.034108683
678,0.012863516
