,nozero
446,9.139274
447,9.009081
448,8.446556
449,8.956222
450,8.578853
451,8.704502
452,9.355392
453,9.724421
454,8.975757
455,9.380421
456,8.548305
457,8.511578
458,8.500047
459,9.553505
460,8.475329
461,9.664596
462,8.560827
463,9.457903
464,8.8946705
465,7.9624157
466,9.11052
467,8.838262
468,8.2179785
469,8.4463415
470,9.162515
471,8.114025
472,9.18789
473,8.535623
474,9.217515
475,9.348362
476,9.438272
477,9.696956
478,8.637816
479,9.157361
480,8.695339
481,8.628735
482,9.2650175
483,9.42819
484,9.011157
485,9.175542
486,8.980298
487,9.043104
488,8.85195
489,8.927845
490,9.204423
491,8.546557
492,9.156412
493,9.054739
494,8.630165
495,9.3823595
496,8.877382
497,9.358761
498,8.230844
499,9.426983
500,8.331827
501,8.482187
502,9.456263
503,8.802372
504,9.544667
505,8.713582
506,9.41042
507,8.664406
508,8.839711
509,9.746776
510,9.146441
511,8.679142
512,9.042276
513,8.794976
514,8.805375
515,9.201905
516,8.996776
517,8.751158
518,9.685456
519,9.463509
520,8.230844
521,9.364005
522,9.775143
523,9.174713
524,9.331939
525,9.39066
526,8.476996
527,8.17892
528,9.31425
529,8.515592
530,8.91153
531,9.6060915
532,9.20984
533,9.609318
534,9.202208
535,8.887652
536,9.081711
537,9.014447
538,9.174506
539,8.4553175
540,9.07989
541,9.436679
542,9.188503
543,9.231809
544,9.373904
545,9.547955
546,8.707979
547,9.187072
548,9.501367
549,9.130431
550,9.08557
551,9.347752
552,9.001716
553,9.432283
554,9.523106
555,9.012256
556,9.507552
557,8.793157
558,9.401704
559,9.290998
560,8.477828
561,8.887515
562,8.434898
563,8.710125
564,9.6565
565,9.912596
566,9.587269
567,8.351611
568,8.2511425
569,9.422221
570,8.33351
571,9.732996
572,9.662053
573,9.273691
574,8.817001
575,9.6789055
576,8.482809
577,8.788593
578,9.805324
579,8.431635
580,9.690851
581,8.300777
582,9.521861
583,9.326522
584,7.8030267
585,9.156729
586,8.95854
587,8.768419
588,9.560926
589,8.170468
590,9.822386
591,8.681351
592,8.95944
593,9.709721
594,7.8838234
595,9.474089
596,8.930758
597,9.175542
598,9.743026
599,8.788898
600,9.199179
601,9.42835
602,9.619399
603,9.906932
604,8.739376
605,9.630957
606,8.78309
607,9.879042
608,9.651365
609,8.825853
610,9.238831
611,8.728426
612,9.137554
613,8.297045
614,9.559024
615,8.646993
616,9.908277
617,8.594339
618,9.253208
619,9.672312
620,8.425516
621,7.5464463
622,9.261414
623,8.672486
624,9.729967
625,8.986822
626,9.163144
627,8.793916
628,7.939515
629,8.325548
630,8.826735
631,9.545169
632,8.525757
633,7.7798853
634,9.09212
635,9.81
636,8.604288
637,9.11504
