,nozero
1840,8.771215
1841,9.363148
1842,8.813438
1843,8.2933
1844,8.704004
1845,8.768886
1846,8.985821
1847,8.216358
1848,7.9669337
1849,8.39638
1850,8.2623005
1851,8.302018
1852,9.606967
1853,9.651044
1854,7.761319
1855,8.320205
1856,7.6834035
1857,8.796793
1858,7.029973
1859,8.189799
1860,9.4836445
1861,8.631771
1862,8.528924
1863,8.337828
1864,7.221105
1865,9.730384
1866,9.523617
1867,7.3395376
1868,7.522941
1869,9.329811
1870,9.096724
1871,9.058121
1872,9.032409
1873,9.348362
1874,8.938663
1875,8.617581
1876,8.265393
1877,7.533159
1878,8.285009
1879,9.153876
1880,8.611412
1881,8.564267
1882,8.011355
1883,9.948126
1884,9.93518
1885,7.1592917
1886,7.229839
1887,9.585415
1888,9.759271
1889,9.43867
1890,8.569216
1891,8.063063
1892,8.197814
1893,7.870548
1894,8.582045
1895,8.407378
1896,8.645059
1897,8.7863035
1898,8.878358
1899,8.560253
1900,8.966994
1901,9.405496
1902,8.326033
1903,8.113127
1904,7.8485436
1905,8.619389
1906,7.190676
1907,9.295324
1908,8.165363
1909,8.578288
1910,8.170186
1911,8.930494
1912,8.965079
1913,8.044306
1914,7.3466554
1915,8.893847
1916,9.240579
1917,9.173469
1918,9.204322
1919,9.007734
1920,9.208439
1921,8.384347
1922,8.611594
1923,8.862767
1924,7.797702
1925,9.257033
1926,9.707594
1927,7.4163785
1928,9.106867
1929,7.9287663
1930,8.374476
